"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 26 14:49:47 GMT 2023","Sun Nov 26 14:49:48 GMT 2023","1425","","","","","","Elegir diferentes tematicas o niveles -- @1.1 Tematicas",""
"passed","Sun Nov 26 14:49:59 GMT 2023","Sun Nov 26 14:50:01 GMT 2023","2149","","","","","","Ingresar letra incorrecta",""
"passed","Sun Nov 26 14:49:52 GMT 2023","Sun Nov 26 14:49:53 GMT 2023","1784","","","","","","Elegir diferentes tematicas o niveles -- @1.4 Tematicas",""
"passed","Sun Nov 26 14:49:53 GMT 2023","Sun Nov 26 14:49:55 GMT 2023","1565","","","","","","Elegir diferentes tematicas o niveles -- @1.5 Tematicas",""
"passed","Sun Nov 26 14:49:16 GMT 2023","Sun Nov 26 14:49:46 GMT 2023","29725","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.1 Opciones",""
"passed","Sun Nov 26 14:49:58 GMT 2023","Sun Nov 26 14:49:59 GMT 2023","1542","","","","","","Elegir diferentes tematicas o niveles -- @1.8 Tematicas",""
"passed","Sun Nov 26 14:49:48 GMT 2023","Sun Nov 26 14:49:50 GMT 2023","1697","","","","","","Elegir diferentes tematicas o niveles -- @1.2 Tematicas",""
"passed","Sun Nov 26 14:50:01 GMT 2023","Sun Nov 26 14:50:04 GMT 2023","2568","","","","","","Ingresar letra repetida",""
"passed","Sun Nov 26 14:49:50 GMT 2023","Sun Nov 26 14:49:52 GMT 2023","1415","","","","","","Elegir diferentes tematicas o niveles -- @1.3 Tematicas",""
"passed","Sun Nov 26 14:49:56 GMT 2023","Sun Nov 26 14:49:58 GMT 2023","1378","","","","","","Elegir diferentes tematicas o niveles -- @1.7 Tematicas",""
"passed","Sun Nov 26 14:49:46 GMT 2023","Sun Nov 26 14:49:47 GMT 2023","1403","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.2 Opciones",""
"passed","Sun Nov 26 14:49:55 GMT 2023","Sun Nov 26 14:49:56 GMT 2023","1444","","","","","","Elegir diferentes tematicas o niveles -- @1.6 Tematicas",""
