"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Nov 25 20:44:21 GMT 2023","Sat Nov 25 20:44:21 GMT 2023","663","","","","","","Elegir diferentes tematicas o niveles -- @1.6 Tematicas",""
"broken","Sat Nov 25 20:44:17 GMT 2023","Sat Nov 25 20:44:18 GMT 2023","663","","","","","","Elegir diferentes tematicas o niveles -- @1.1 Tematicas",""
"broken","Sat Nov 25 20:44:23 GMT 2023","Sat Nov 25 20:44:23 GMT 2023","663","","","","","","Ingresar letra incorrecta",""
"broken","Sat Nov 25 20:44:23 GMT 2023","Sat Nov 25 20:44:24 GMT 2023","662","","","","","","Ingresar letra repetida",""
"broken","Sat Nov 25 20:44:18 GMT 2023","Sat Nov 25 20:44:19 GMT 2023","663","","","","","","Elegir diferentes tematicas o niveles -- @1.2 Tematicas",""
"broken","Sat Nov 25 20:44:19 GMT 2023","Sat Nov 25 20:44:19 GMT 2023","663","","","","","","Elegir diferentes tematicas o niveles -- @1.3 Tematicas",""
"broken","Sat Nov 25 20:44:22 GMT 2023","Sat Nov 25 20:44:23 GMT 2023","663","","","","","","Elegir diferentes tematicas o niveles -- @1.8 Tematicas",""
"broken","Sat Nov 25 20:44:17 GMT 2023","Sat Nov 25 20:44:17 GMT 2023","665","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.2 Opciones",""
"broken","Sat Nov 25 20:44:20 GMT 2023","Sat Nov 25 20:44:21 GMT 2023","663","","","","","","Elegir diferentes tematicas o niveles -- @1.5 Tematicas",""
"broken","Sat Nov 25 20:44:21 GMT 2023","Sat Nov 25 20:44:22 GMT 2023","714","","","","","","Elegir diferentes tematicas o niveles -- @1.7 Tematicas",""
"broken","Sat Nov 25 20:44:10 GMT 2023","Sat Nov 25 20:44:17 GMT 2023","6371","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.1 Opciones",""
"broken","Sat Nov 25 20:44:19 GMT 2023","Sat Nov 25 20:44:20 GMT 2023","663","","","","","","Elegir diferentes tematicas o niveles -- @1.4 Tematicas",""
