"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Nov 25 20:14:11 GMT 2023","Sat Nov 25 20:14:11 GMT 2023","664","","","","","","Elegir diferentes tematicas o niveles -- @1.4 Tematicas",""
"broken","Sat Nov 25 20:14:13 GMT 2023","Sat Nov 25 20:14:13 GMT 2023","665","","","","","","Elegir diferentes tematicas o niveles -- @1.7 Tematicas",""
"broken","Sat Nov 25 20:14:09 GMT 2023","Sat Nov 25 20:14:10 GMT 2023","665","","","","","","Elegir diferentes tematicas o niveles -- @1.2 Tematicas",""
"broken","Sat Nov 25 20:14:13 GMT 2023","Sat Nov 25 20:14:14 GMT 2023","664","","","","","","Elegir diferentes tematicas o niveles -- @1.8 Tematicas",""
"broken","Sat Nov 25 20:13:57 GMT 2023","Sat Nov 25 20:14:08 GMT 2023","10709","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.1 Opciones",""
"broken","Sat Nov 25 20:14:15 GMT 2023","Sat Nov 25 20:14:15 GMT 2023","663","","","","","","Ingresar letra repetida",""
"broken","Sat Nov 25 20:14:11 GMT 2023","Sat Nov 25 20:14:12 GMT 2023","664","","","","","","Elegir diferentes tematicas o niveles -- @1.5 Tematicas",""
"broken","Sat Nov 25 20:14:14 GMT 2023","Sat Nov 25 20:14:15 GMT 2023","665","","","","","","Ingresar letra incorrecta",""
"broken","Sat Nov 25 20:14:09 GMT 2023","Sat Nov 25 20:14:09 GMT 2023","664","","","","","","Elegir diferentes tematicas o niveles -- @1.1 Tematicas",""
"broken","Sat Nov 25 20:14:10 GMT 2023","Sat Nov 25 20:14:11 GMT 2023","666","","","","","","Elegir diferentes tematicas o niveles -- @1.3 Tematicas",""
"broken","Sat Nov 25 20:14:08 GMT 2023","Sat Nov 25 20:14:09 GMT 2023","717","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.2 Opciones",""
"broken","Sat Nov 25 20:14:12 GMT 2023","Sat Nov 25 20:14:13 GMT 2023","664","","","","","","Elegir diferentes tematicas o niveles -- @1.6 Tematicas",""
