"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Nov 25 20:53:13 GMT 2023","Sat Nov 25 20:53:14 GMT 2023","662","","","","","","Ingresar letra repetida",""
"broken","Sat Nov 25 20:53:12 GMT 2023","Sat Nov 25 20:53:12 GMT 2023","661","","","","","","Elegir diferentes tematicas o niveles -- @1.8 Tematicas",""
"broken","Sat Nov 25 20:53:07 GMT 2023","Sat Nov 25 20:53:08 GMT 2023","662","","","","","","Elegir diferentes tematicas o niveles -- @1.1 Tematicas",""
"broken","Sat Nov 25 20:53:12 GMT 2023","Sat Nov 25 20:53:13 GMT 2023","662","","","","","","Ingresar letra incorrecta",""
"broken","Sat Nov 25 20:53:06 GMT 2023","Sat Nov 25 20:53:07 GMT 2023","665","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.2 Opciones",""
"broken","Sat Nov 25 20:53:10 GMT 2023","Sat Nov 25 20:53:10 GMT 2023","661","","","","","","Elegir diferentes tematicas o niveles -- @1.5 Tematicas",""
"broken","Sat Nov 25 20:53:08 GMT 2023","Sat Nov 25 20:53:08 GMT 2023","663","","","","","","Elegir diferentes tematicas o niveles -- @1.2 Tematicas",""
"broken","Sat Nov 25 20:53:09 GMT 2023","Sat Nov 25 20:53:10 GMT 2023","662","","","","","","Elegir diferentes tematicas o niveles -- @1.4 Tematicas",""
"broken","Sat Nov 25 20:53:10 GMT 2023","Sat Nov 25 20:53:11 GMT 2023","662","","","","","","Elegir diferentes tematicas o niveles -- @1.6 Tematicas",""
"broken","Sat Nov 25 20:53:08 GMT 2023","Sat Nov 25 20:53:09 GMT 2023","661","","","","","","Elegir diferentes tematicas o niveles -- @1.3 Tematicas",""
"broken","Sat Nov 25 20:53:05 GMT 2023","Sat Nov 25 20:53:06 GMT 2023","879","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.1 Opciones",""
"broken","Sat Nov 25 20:53:11 GMT 2023","Sat Nov 25 20:53:12 GMT 2023","662","","","","","","Elegir diferentes tematicas o niveles -- @1.7 Tematicas",""
