"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 25 21:49:02 GMT 2023","Sat Nov 25 21:49:04 GMT 2023","1702","","","","","","Elegir diferentes tematicas o niveles -- @1.7 Tematicas",""
"passed","Sat Nov 25 21:48:54 GMT 2023","Sat Nov 25 21:48:55 GMT 2023","1453","","","","","","Elegir diferentes tematicas o niveles -- @1.2 Tematicas",""
"passed","Sat Nov 25 21:49:05 GMT 2023","Sat Nov 25 21:49:08 GMT 2023","2259","","","","","","Ingresar letra incorrecta",""
"passed","Sat Nov 25 21:48:57 GMT 2023","Sat Nov 25 21:48:59 GMT 2023","1672","","","","","","Elegir diferentes tematicas o niveles -- @1.4 Tematicas",""
"passed","Sat Nov 25 21:49:04 GMT 2023","Sat Nov 25 21:49:05 GMT 2023","1688","","","","","","Elegir diferentes tematicas o niveles -- @1.8 Tematicas",""
"passed","Sat Nov 25 21:48:55 GMT 2023","Sat Nov 25 21:48:57 GMT 2023","1609","","","","","","Elegir diferentes tematicas o niveles -- @1.3 Tematicas",""
"passed","Sat Nov 25 21:48:49 GMT 2023","Sat Nov 25 21:48:51 GMT 2023","2248","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.1 Opciones",""
"passed","Sat Nov 25 21:48:51 GMT 2023","Sat Nov 25 21:48:52 GMT 2023","1434","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.2 Opciones",""
"passed","Sat Nov 25 21:48:59 GMT 2023","Sat Nov 25 21:49:00 GMT 2023","1746","","","","","","Elegir diferentes tematicas o niveles -- @1.5 Tematicas",""
"passed","Sat Nov 25 21:49:08 GMT 2023","Sat Nov 25 21:49:10 GMT 2023","2885","","","","","","Ingresar letra repetida",""
"passed","Sat Nov 25 21:48:52 GMT 2023","Sat Nov 25 21:48:54 GMT 2023","1677","","","","","","Elegir diferentes tematicas o niveles -- @1.1 Tematicas",""
"passed","Sat Nov 25 21:49:00 GMT 2023","Sat Nov 25 21:49:02 GMT 2023","1427","","","","","","Elegir diferentes tematicas o niveles -- @1.6 Tematicas",""
