"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 27 21:33:41 GMT 2023","Mon Nov 27 21:33:42 GMT 2023","1457","","","","","","Elegir diferentes tematicas o niveles -- @1.6 Tematicas",""
"passed","Mon Nov 27 21:33:31 GMT 2023","Mon Nov 27 21:33:33 GMT 2023","1587","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.2 Opciones",""
"passed","Mon Nov 27 21:33:36 GMT 2023","Mon Nov 27 21:33:38 GMT 2023","1489","","","","","","Elegir diferentes tematicas o niveles -- @1.3 Tematicas",""
"broken","Mon Nov 27 21:33:48 GMT 2023","Mon Nov 27 21:34:20 GMT 2023","31730","","","","","","Ingresar letra repetida",""
"passed","Mon Nov 27 21:33:25 GMT 2023","Mon Nov 27 21:33:31 GMT 2023","5997","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.1 Opciones",""
"passed","Mon Nov 27 21:33:33 GMT 2023","Mon Nov 27 21:33:34 GMT 2023","1668","","","","","","Elegir diferentes tematicas o niveles -- @1.1 Tematicas",""
"passed","Mon Nov 27 21:33:42 GMT 2023","Mon Nov 27 21:33:44 GMT 2023","1853","","","","","","Elegir diferentes tematicas o niveles -- @1.7 Tematicas",""
"passed","Mon Nov 27 21:33:39 GMT 2023","Mon Nov 27 21:33:41 GMT 2023","1439","","","","","","Elegir diferentes tematicas o niveles -- @1.5 Tematicas",""
"passed","Mon Nov 27 21:33:38 GMT 2023","Mon Nov 27 21:33:39 GMT 2023","1593","","","","","","Elegir diferentes tematicas o niveles -- @1.4 Tematicas",""
"passed","Mon Nov 27 21:33:45 GMT 2023","Mon Nov 27 21:33:48 GMT 2023","2543","","","","","","Ingresar letra incorrecta",""
"passed","Mon Nov 27 21:33:44 GMT 2023","Mon Nov 27 21:33:45 GMT 2023","1418","","","","","","Elegir diferentes tematicas o niveles -- @1.8 Tematicas",""
"passed","Mon Nov 27 21:33:34 GMT 2023","Mon Nov 27 21:33:36 GMT 2023","1646","","","","","","Elegir diferentes tematicas o niveles -- @1.2 Tematicas",""
