"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 27 00:22:22 GMT 2023","Mon Nov 27 00:22:24 GMT 2023","1501","","","","","","Elegir diferentes tematicas o niveles -- @1.5 Tematicas",""
"passed","Mon Nov 27 00:22:28 GMT 2023","Mon Nov 27 00:22:30 GMT 2023","2042","","","","","","Ingresar letra incorrecta",""
"passed","Mon Nov 27 00:22:24 GMT 2023","Mon Nov 27 00:22:25 GMT 2023","1541","","","","","","Elegir diferentes tematicas o niveles -- @1.6 Tematicas",""
"passed","Mon Nov 27 00:22:18 GMT 2023","Mon Nov 27 00:22:19 GMT 2023","1408","","","","","","Elegir diferentes tematicas o niveles -- @1.2 Tematicas",""
"passed","Mon Nov 27 00:22:27 GMT 2023","Mon Nov 27 00:22:28 GMT 2023","1498","","","","","","Elegir diferentes tematicas o niveles -- @1.8 Tematicas",""
"passed","Mon Nov 27 00:22:25 GMT 2023","Mon Nov 27 00:22:27 GMT 2023","1469","","","","","","Elegir diferentes tematicas o niveles -- @1.7 Tematicas",""
"passed","Mon Nov 27 00:22:01 GMT 2023","Mon Nov 27 00:22:15 GMT 2023","13740","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.1 Opciones",""
"passed","Mon Nov 27 00:22:15 GMT 2023","Mon Nov 27 00:22:16 GMT 2023","1341","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.2 Opciones",""
"passed","Mon Nov 27 00:22:19 GMT 2023","Mon Nov 27 00:22:21 GMT 2023","1516","","","","","","Elegir diferentes tematicas o niveles -- @1.3 Tematicas",""
"passed","Mon Nov 27 00:22:16 GMT 2023","Mon Nov 27 00:22:18 GMT 2023","1712","","","","","","Elegir diferentes tematicas o niveles -- @1.1 Tematicas",""
"passed","Mon Nov 27 00:22:21 GMT 2023","Mon Nov 27 00:22:22 GMT 2023","1408","","","","","","Elegir diferentes tematicas o niveles -- @1.4 Tematicas",""
"passed","Mon Nov 27 00:22:30 GMT 2023","Mon Nov 27 00:22:33 GMT 2023","2179","","","","","","Ingresar letra repetida",""
