"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 27 21:44:26 GMT 2023","Mon Nov 27 21:44:27 GMT 2023","1135","","","","","","Elegir diferentes tematicas o niveles -- @1.5 Tematicas",""
"passed","Mon Nov 27 21:44:33 GMT 2023","Mon Nov 27 21:44:34 GMT 2023","1844","","","","","","Ingresar letra repetida",""
"passed","Mon Nov 27 21:44:27 GMT 2023","Mon Nov 27 21:44:29 GMT 2023","1185","","","","","","Elegir diferentes tematicas o niveles -- @1.6 Tematicas",""
"passed","Mon Nov 27 21:44:23 GMT 2023","Mon Nov 27 21:44:24 GMT 2023","1161","","","","","","Elegir diferentes tematicas o niveles -- @1.2 Tematicas",""
"passed","Mon Nov 27 21:44:20 GMT 2023","Mon Nov 27 21:44:22 GMT 2023","1178","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.2 Opciones",""
"passed","Mon Nov 27 21:44:19 GMT 2023","Mon Nov 27 21:44:20 GMT 2023","1637","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.1 Opciones",""
"passed","Mon Nov 27 21:44:29 GMT 2023","Mon Nov 27 21:44:30 GMT 2023","1225","","","","","","Elegir diferentes tematicas o niveles -- @1.7 Tematicas",""
"passed","Mon Nov 27 21:44:31 GMT 2023","Mon Nov 27 21:44:33 GMT 2023","1585","","","","","","Ingresar letra incorrecta",""
"passed","Mon Nov 27 21:44:30 GMT 2023","Mon Nov 27 21:44:31 GMT 2023","1168","","","","","","Elegir diferentes tematicas o niveles -- @1.8 Tematicas",""
"passed","Mon Nov 27 21:44:24 GMT 2023","Mon Nov 27 21:44:25 GMT 2023","1150","","","","","","Elegir diferentes tematicas o niveles -- @1.3 Tematicas",""
"passed","Mon Nov 27 21:44:22 GMT 2023","Mon Nov 27 21:44:23 GMT 2023","1186","","","","","","Elegir diferentes tematicas o niveles -- @1.1 Tematicas",""
"passed","Mon Nov 27 21:44:25 GMT 2023","Mon Nov 27 21:44:26 GMT 2023","1173","","","","","","Elegir diferentes tematicas o niveles -- @1.4 Tematicas",""
