"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 27 21:38:17 GMT 2023","Mon Nov 27 21:38:18 GMT 2023","1146","","","","","","Elegir diferentes tematicas o niveles -- @1.5 Tematicas",""
"passed","Mon Nov 27 21:38:13 GMT 2023","Mon Nov 27 21:38:14 GMT 2023","1264","","","","","","Elegir diferentes tematicas o niveles -- @1.2 Tematicas",""
"passed","Mon Nov 27 21:38:12 GMT 2023","Mon Nov 27 21:38:13 GMT 2023","1297","","","","","","Elegir diferentes tematicas o niveles -- @1.1 Tematicas",""
"passed","Mon Nov 27 21:38:11 GMT 2023","Mon Nov 27 21:38:12 GMT 2023","1280","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.2 Opciones",""
"passed","Mon Nov 27 21:38:53 GMT 2023","Mon Nov 27 21:38:55 GMT 2023","2009","","","","","","Ingresar letra repetida",""
"passed","Mon Nov 27 21:38:08 GMT 2023","Mon Nov 27 21:38:11 GMT 2023","2373","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.1 Opciones",""
"broken","Mon Nov 27 21:38:22 GMT 2023","Mon Nov 27 21:38:53 GMT 2023","31359","","","","","","Ingresar letra incorrecta",""
"passed","Mon Nov 27 21:38:14 GMT 2023","Mon Nov 27 21:38:16 GMT 2023","1162","","","","","","Elegir diferentes tematicas o niveles -- @1.3 Tematicas",""
"passed","Mon Nov 27 21:38:18 GMT 2023","Mon Nov 27 21:38:19 GMT 2023","1232","","","","","","Elegir diferentes tematicas o niveles -- @1.6 Tematicas",""
"passed","Mon Nov 27 21:38:20 GMT 2023","Mon Nov 27 21:38:22 GMT 2023","1245","","","","","","Elegir diferentes tematicas o niveles -- @1.8 Tematicas",""
"passed","Mon Nov 27 21:38:16 GMT 2023","Mon Nov 27 21:38:17 GMT 2023","1243","","","","","","Elegir diferentes tematicas o niveles -- @1.4 Tematicas",""
"passed","Mon Nov 27 21:38:19 GMT 2023","Mon Nov 27 21:38:20 GMT 2023","1232","","","","","","Elegir diferentes tematicas o niveles -- @1.7 Tematicas",""
