"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Nov 28 23:43:23 GMT 2023","Tue Nov 28 23:43:26 GMT 2023","2311","","","","","","Ingresar letra incorrecta",""
"passed","Tue Nov 28 23:43:10 GMT 2023","Tue Nov 28 23:43:12 GMT 2023","1712","","","","","","Elegir diferentes tematicas o niveles -- @1.1 Tematicas",""
"passed","Tue Nov 28 23:43:22 GMT 2023","Tue Nov 28 23:43:23 GMT 2023","1432","","","","","","Elegir diferentes tematicas o niveles -- @1.8 Tematicas",""
"passed","Tue Nov 28 23:43:17 GMT 2023","Tue Nov 28 23:43:18 GMT 2023","1536","","","","","","Elegir diferentes tematicas o niveles -- @1.5 Tematicas",""
"passed","Tue Nov 28 23:43:18 GMT 2023","Tue Nov 28 23:43:20 GMT 2023","2053","","","","","","Elegir diferentes tematicas o niveles -- @1.6 Tematicas",""
"passed","Tue Nov 28 23:43:15 GMT 2023","Tue Nov 28 23:43:17 GMT 2023","1444","","","","","","Elegir diferentes tematicas o niveles -- @1.4 Tematicas",""
"passed","Tue Nov 28 23:43:14 GMT 2023","Tue Nov 28 23:43:15 GMT 2023","1673","","","","","","Elegir diferentes tematicas o niveles -- @1.3 Tematicas",""
"passed","Tue Nov 28 23:43:20 GMT 2023","Tue Nov 28 23:43:22 GMT 2023","1479","","","","","","Elegir diferentes tematicas o niveles -- @1.7 Tematicas",""
"passed","Tue Nov 28 23:42:34 GMT 2023","Tue Nov 28 23:43:09 GMT 2023","34938","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.1 Opciones",""
"passed","Tue Nov 28 23:43:12 GMT 2023","Tue Nov 28 23:43:14 GMT 2023","1567","","","","","","Elegir diferentes tematicas o niveles -- @1.2 Tematicas",""
"passed","Tue Nov 28 23:43:09 GMT 2023","Tue Nov 28 23:43:10 GMT 2023","1474","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.2 Opciones",""
"failed","Tue Nov 28 23:43:26 GMT 2023","Tue Nov 28 23:43:28 GMT 2023","2216","","","","","","Ingresar letra repetida",""
