"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 28 23:48:54 GMT 2023","Tue Nov 28 23:48:56 GMT 2023","1839","","","","","","Elegir diferentes tematicas o niveles -- @1.8 Tematicas",""
"passed","Tue Nov 28 23:48:48 GMT 2023","Tue Nov 28 23:48:49 GMT 2023","1551","","","","","","Elegir diferentes tematicas o niveles -- @1.4 Tematicas",""
"passed","Tue Nov 28 23:48:43 GMT 2023","Tue Nov 28 23:48:45 GMT 2023","1590","","","","","","Elegir diferentes tematicas o niveles -- @1.1 Tematicas",""
"passed","Tue Nov 28 23:48:53 GMT 2023","Tue Nov 28 23:48:54 GMT 2023","1455","","","","","","Elegir diferentes tematicas o niveles -- @1.7 Tematicas",""
"passed","Tue Nov 28 23:48:45 GMT 2023","Tue Nov 28 23:48:46 GMT 2023","1714","","","","","","Elegir diferentes tematicas o niveles -- @1.2 Tematicas",""
"passed","Tue Nov 28 23:48:59 GMT 2023","Tue Nov 28 23:49:01 GMT 2023","2874","","","","","","Ingresar letra repetida",""
"passed","Tue Nov 28 23:48:51 GMT 2023","Tue Nov 28 23:48:53 GMT 2023","1483","","","","","","Elegir diferentes tematicas o niveles -- @1.6 Tematicas",""
"passed","Tue Nov 28 23:48:46 GMT 2023","Tue Nov 28 23:48:48 GMT 2023","1432","","","","","","Elegir diferentes tematicas o niveles -- @1.3 Tematicas",""
"passed","Tue Nov 28 23:48:56 GMT 2023","Tue Nov 28 23:48:59 GMT 2023","2652","","","","","","Ingresar letra incorrecta",""
"passed","Tue Nov 28 23:48:37 GMT 2023","Tue Nov 28 23:48:41 GMT 2023","4189","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.1 Opciones",""
"passed","Tue Nov 28 23:48:49 GMT 2023","Tue Nov 28 23:48:51 GMT 2023","1743","","","","","","Elegir diferentes tematicas o niveles -- @1.5 Tematicas",""
"passed","Tue Nov 28 23:48:41 GMT 2023","Tue Nov 28 23:48:43 GMT 2023","1717","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.2 Opciones",""
