"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 27 00:31:17 GMT 2023","Mon Nov 27 00:31:18 GMT 2023","1608","","","","","","Elegir diferentes tematicas o niveles -- @1.4 Tematicas",""
"passed","Mon Nov 27 00:31:25 GMT 2023","Mon Nov 27 00:31:28 GMT 2023","2561","","","","","","Ingresar letra incorrecta",""
"passed","Mon Nov 27 00:31:11 GMT 2023","Mon Nov 27 00:31:13 GMT 2023","1895","","","","","","Elegir diferentes tematicas o niveles -- @1.1 Tematicas",""
"passed","Mon Nov 27 00:31:28 GMT 2023","Mon Nov 27 00:31:30 GMT 2023","2717","","","","","","Ingresar letra repetida",""
"passed","Mon Nov 27 00:31:15 GMT 2023","Mon Nov 27 00:31:17 GMT 2023","1539","","","","","","Elegir diferentes tematicas o niveles -- @1.3 Tematicas",""
"passed","Mon Nov 27 00:31:24 GMT 2023","Mon Nov 27 00:31:25 GMT 2023","1463","","","","","","Elegir diferentes tematicas o niveles -- @1.8 Tematicas",""
"passed","Mon Nov 27 00:31:03 GMT 2023","Mon Nov 27 00:31:10 GMT 2023","6119","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.1 Opciones",""
"passed","Mon Nov 27 00:31:10 GMT 2023","Mon Nov 27 00:31:11 GMT 2023","1896","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.2 Opciones",""
"passed","Mon Nov 27 00:31:22 GMT 2023","Mon Nov 27 00:31:24 GMT 2023","1698","","","","","","Elegir diferentes tematicas o niveles -- @1.7 Tematicas",""
"passed","Mon Nov 27 00:31:18 GMT 2023","Mon Nov 27 00:31:20 GMT 2023","1731","","","","","","Elegir diferentes tematicas o niveles -- @1.5 Tematicas",""
"passed","Mon Nov 27 00:31:20 GMT 2023","Mon Nov 27 00:31:22 GMT 2023","2008","","","","","","Elegir diferentes tematicas o niveles -- @1.6 Tematicas",""
"passed","Mon Nov 27 00:31:13 GMT 2023","Mon Nov 27 00:31:15 GMT 2023","1719","","","","","","Elegir diferentes tematicas o niveles -- @1.2 Tematicas",""
