"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Nov 25 20:55:56 GMT 2023","Sat Nov 25 20:55:57 GMT 2023","663","","","","","","Elegir diferentes tematicas o niveles -- @1.2 Tematicas",""
"broken","Sat Nov 25 20:55:59 GMT 2023","Sat Nov 25 20:55:59 GMT 2023","664","","","","","","Elegir diferentes tematicas o niveles -- @1.6 Tematicas",""
"broken","Sat Nov 25 20:55:59 GMT 2023","Sat Nov 25 20:56:00 GMT 2023","663","","","","","","Elegir diferentes tematicas o niveles -- @1.7 Tematicas",""
"broken","Sat Nov 25 20:55:48 GMT 2023","Sat Nov 25 20:55:55 GMT 2023","6217","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.1 Opciones",""
"broken","Sat Nov 25 20:56:01 GMT 2023","Sat Nov 25 20:56:02 GMT 2023","664","","","","","","Ingresar letra repetida",""
"broken","Sat Nov 25 20:55:55 GMT 2023","Sat Nov 25 20:55:55 GMT 2023","667","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.2 Opciones",""
"broken","Sat Nov 25 20:56:00 GMT 2023","Sat Nov 25 20:56:01 GMT 2023","662","","","","","","Elegir diferentes tematicas o niveles -- @1.8 Tematicas",""
"broken","Sat Nov 25 20:55:58 GMT 2023","Sat Nov 25 20:55:59 GMT 2023","664","","","","","","Elegir diferentes tematicas o niveles -- @1.5 Tematicas",""
"broken","Sat Nov 25 20:55:57 GMT 2023","Sat Nov 25 20:55:57 GMT 2023","664","","","","","","Elegir diferentes tematicas o niveles -- @1.3 Tematicas",""
"broken","Sat Nov 25 20:56:01 GMT 2023","Sat Nov 25 20:56:01 GMT 2023","664","","","","","","Ingresar letra incorrecta",""
"broken","Sat Nov 25 20:55:57 GMT 2023","Sat Nov 25 20:55:58 GMT 2023","663","","","","","","Elegir diferentes tematicas o niveles -- @1.4 Tematicas",""
"broken","Sat Nov 25 20:55:55 GMT 2023","Sat Nov 25 20:55:56 GMT 2023","662","","","","","","Elegir diferentes tematicas o niveles -- @1.1 Tematicas",""
