"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Nov 25 20:09:43 GMT 2023","Sat Nov 25 20:09:43 GMT 2023","666","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.2 Opciones",""
"broken","Sat Nov 25 20:09:46 GMT 2023","Sat Nov 25 20:09:47 GMT 2023","663","","","","","","Elegir diferentes tematicas o niveles -- @1.5 Tematicas",""
"broken","Sat Nov 25 20:09:45 GMT 2023","Sat Nov 25 20:09:46 GMT 2023","663","","","","","","Elegir diferentes tematicas o niveles -- @1.4 Tematicas",""
"broken","Sat Nov 25 20:09:49 GMT 2023","Sat Nov 25 20:09:50 GMT 2023","663","","","","","","Ingresar letra repetida",""
"broken","Sat Nov 25 20:09:43 GMT 2023","Sat Nov 25 20:09:44 GMT 2023","662","","","","","","Elegir diferentes tematicas o niveles -- @1.1 Tematicas",""
"broken","Sat Nov 25 20:09:44 GMT 2023","Sat Nov 25 20:09:45 GMT 2023","664","","","","","","Elegir diferentes tematicas o niveles -- @1.2 Tematicas",""
"broken","Sat Nov 25 20:09:48 GMT 2023","Sat Nov 25 20:09:49 GMT 2023","663","","","","","","Elegir diferentes tematicas o niveles -- @1.8 Tematicas",""
"broken","Sat Nov 25 20:09:47 GMT 2023","Sat Nov 25 20:09:47 GMT 2023","663","","","","","","Elegir diferentes tematicas o niveles -- @1.6 Tematicas",""
"broken","Sat Nov 25 20:09:45 GMT 2023","Sat Nov 25 20:09:45 GMT 2023","664","","","","","","Elegir diferentes tematicas o niveles -- @1.3 Tematicas",""
"broken","Sat Nov 25 20:09:49 GMT 2023","Sat Nov 25 20:09:49 GMT 2023","664","","","","","","Ingresar letra incorrecta",""
"broken","Sat Nov 25 20:09:47 GMT 2023","Sat Nov 25 20:09:48 GMT 2023","663","","","","","","Elegir diferentes tematicas o niveles -- @1.7 Tematicas",""
"broken","Sat Nov 25 20:09:42 GMT 2023","Sat Nov 25 20:09:43 GMT 2023","1038","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.1 Opciones",""
