"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 25 21:53:51 GMT 2023","Sat Nov 25 21:53:53 GMT 2023","1672","","","","","","Elegir diferentes tematicas o niveles -- @1.7 Tematicas",""
"passed","Sat Nov 25 21:53:57 GMT 2023","Sat Nov 25 21:54:01 GMT 2023","3509","","","","","","Ingresar letra repetida",""
"passed","Sat Nov 25 21:53:53 GMT 2023","Sat Nov 25 21:53:55 GMT 2023","1988","","","","","","Elegir diferentes tematicas o niveles -- @1.8 Tematicas",""
"passed","Sat Nov 25 21:53:39 GMT 2023","Sat Nov 25 21:53:41 GMT 2023","1869","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.2 Opciones",""
"passed","Sat Nov 25 21:53:47 GMT 2023","Sat Nov 25 21:53:49 GMT 2023","1598","","","","","","Elegir diferentes tematicas o niveles -- @1.5 Tematicas",""
"passed","Sat Nov 25 21:53:27 GMT 2023","Sat Nov 25 21:53:39 GMT 2023","11495","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.1 Opciones",""
"passed","Sat Nov 25 21:53:55 GMT 2023","Sat Nov 25 21:53:57 GMT 2023","2306","","","","","","Ingresar letra incorrecta",""
"passed","Sat Nov 25 21:53:46 GMT 2023","Sat Nov 25 21:53:47 GMT 2023","1447","","","","","","Elegir diferentes tematicas o niveles -- @1.4 Tematicas",""
"passed","Sat Nov 25 21:53:42 GMT 2023","Sat Nov 25 21:53:44 GMT 2023","1981","","","","","","Elegir diferentes tematicas o niveles -- @1.2 Tematicas",""
"passed","Sat Nov 25 21:53:49 GMT 2023","Sat Nov 25 21:53:51 GMT 2023","2004","","","","","","Elegir diferentes tematicas o niveles -- @1.6 Tematicas",""
"passed","Sat Nov 25 21:53:41 GMT 2023","Sat Nov 25 21:53:42 GMT 2023","1609","","","","","","Elegir diferentes tematicas o niveles -- @1.1 Tematicas",""
"passed","Sat Nov 25 21:53:44 GMT 2023","Sat Nov 25 21:53:46 GMT 2023","1846","","","","","","Elegir diferentes tematicas o niveles -- @1.3 Tematicas",""
