"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 27 00:08:47 GMT 2023","Mon Nov 27 00:08:48 GMT 2023","1351","","","","","","Elegir diferentes tematicas o niveles -- @1.3 Tematicas",""
"passed","Mon Nov 27 00:08:42 GMT 2023","Mon Nov 27 00:08:44 GMT 2023","1533","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.2 Opciones",""
"passed","Mon Nov 27 00:08:51 GMT 2023","Mon Nov 27 00:08:52 GMT 2023","1422","","","","","","Elegir diferentes tematicas o niveles -- @1.6 Tematicas",""
"passed","Mon Nov 27 00:08:55 GMT 2023","Mon Nov 27 00:08:57 GMT 2023","2131","","","","","","Ingresar letra incorrecta",""
"passed","Mon Nov 27 00:08:48 GMT 2023","Mon Nov 27 00:08:49 GMT 2023","1318","","","","","","Elegir diferentes tematicas o niveles -- @1.4 Tematicas",""
"passed","Mon Nov 27 00:08:54 GMT 2023","Mon Nov 27 00:08:55 GMT 2023","1394","","","","","","Elegir diferentes tematicas o niveles -- @1.8 Tematicas",""
"passed","Mon Nov 27 00:08:19 GMT 2023","Mon Nov 27 00:08:42 GMT 2023","22845","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.1 Opciones",""
"passed","Mon Nov 27 00:08:44 GMT 2023","Mon Nov 27 00:08:45 GMT 2023","1556","","","","","","Elegir diferentes tematicas o niveles -- @1.1 Tematicas",""
"passed","Mon Nov 27 00:08:57 GMT 2023","Mon Nov 27 00:09:00 GMT 2023","2422","","","","","","Ingresar letra repetida",""
"passed","Mon Nov 27 00:08:52 GMT 2023","Mon Nov 27 00:08:54 GMT 2023","1435","","","","","","Elegir diferentes tematicas o niveles -- @1.7 Tematicas",""
"passed","Mon Nov 27 00:08:49 GMT 2023","Mon Nov 27 00:08:51 GMT 2023","1485","","","","","","Elegir diferentes tematicas o niveles -- @1.5 Tematicas",""
"passed","Mon Nov 27 00:08:45 GMT 2023","Mon Nov 27 00:08:47 GMT 2023","1346","","","","","","Elegir diferentes tematicas o niveles -- @1.2 Tematicas",""
