"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 26 14:59:22 GMT 2023","Sun Nov 26 14:59:24 GMT 2023","1328","","","","","","Elegir diferentes tematicas o niveles -- @1.2 Tematicas",""
"passed","Sun Nov 26 14:59:14 GMT 2023","Sun Nov 26 14:59:20 GMT 2023","5276","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.1 Opciones",""
"passed","Sun Nov 26 14:59:31 GMT 2023","Sun Nov 26 14:59:33 GMT 2023","1883","","","","","","Ingresar letra incorrecta",""
"passed","Sun Nov 26 14:59:29 GMT 2023","Sun Nov 26 14:59:30 GMT 2023","1268","","","","","","Elegir diferentes tematicas o niveles -- @1.7 Tematicas",""
"passed","Sun Nov 26 14:59:30 GMT 2023","Sun Nov 26 14:59:31 GMT 2023","1286","","","","","","Elegir diferentes tematicas o niveles -- @1.8 Tematicas",""
"passed","Sun Nov 26 14:59:27 GMT 2023","Sun Nov 26 14:59:29 GMT 2023","1452","","","","","","Elegir diferentes tematicas o niveles -- @1.6 Tematicas",""
"passed","Sun Nov 26 14:59:21 GMT 2023","Sun Nov 26 14:59:22 GMT 2023","1404","","","","","","Elegir diferentes tematicas o niveles -- @1.1 Tematicas",""
"passed","Sun Nov 26 14:59:24 GMT 2023","Sun Nov 26 14:59:25 GMT 2023","1254","","","","","","Elegir diferentes tematicas o niveles -- @1.3 Tematicas",""
"passed","Sun Nov 26 14:59:20 GMT 2023","Sun Nov 26 14:59:21 GMT 2023","1288","","","","","","Elegir opcion elegir por tematica o por nivel -- @1.2 Opciones",""
"passed","Sun Nov 26 14:59:33 GMT 2023","Sun Nov 26 14:59:35 GMT 2023","2192","","","","","","Ingresar letra repetida",""
"passed","Sun Nov 26 14:59:26 GMT 2023","Sun Nov 26 14:59:27 GMT 2023","1258","","","","","","Elegir diferentes tematicas o niveles -- @1.5 Tematicas",""
"passed","Sun Nov 26 14:59:25 GMT 2023","Sun Nov 26 14:59:26 GMT 2023","1267","","","","","","Elegir diferentes tematicas o niveles -- @1.4 Tematicas",""
